IATA,ICAO,Name,Latitude,Longitude,UTC Offset (s),Max Runway Length (ft),Airlines
INT,KINT,Winston Salem NC,36.1333,-80.2217,-18000,6666,DVH
OLF,KOLF,Wolf Point MT,48.0944,-105.575,-25200,5084,NW
WJU,RKNW,Wonju South Korea,37.4381,127.96,32400,9008,
ORH,KORH,Worcester MA,42.2672,-71.8756,-18000,6991,"DVH,NEH"
OTG,KOTG,Worthington MN,43.655,-95.5792,-21600,5500,NCA
WRG,PAWG,Wrangell AK,56.4842,-132.37,-32400,5986,
FFO,KFFO,Wright Paterson AFB OH,39.8256,-84.0456,-18000,12603,
WRO,EPWR,Wroclaw Poland,51.1028,16.8858,3600,8204,
WUH,ZHHH,Wuhan China,30.7831,114.2078,28800,11179,"AF,MU,CZ,DVH,VN"
WUX,ZSWX,Wuxi Jiangsu China,31.4972,120.431,28800,10499,
WUS,ZSWY,Wuyishan-Fujian China,27.7019,118.001,28800,2500,
XMN,ZSAM,Xiamen China,24.5439,118.128,28800,11163,"KL,FM"
XIY,ZLXY,Xian China,34.4469,108.752,28800,12467,"MU,CZ"
XNN,ZLXN,Xinning China,36.5278,102.064,28800,12459,MU
XUZ,ZSXZ,Xuzhou China,34.05,117.55,28800,11155,
YKM,KYKM,Yakima WA,46.5678,-120.5439,-28800,7591,"RW,AS,ASH,NW"
YAK,PAYA,Yakutat AK,59.5031,-139.66,-32400,7732,"DVH,WAH"
YKS,UEEE,Yakutsk Russia,62.0931,129.773,32400,11141,SUD
GAJ,RJSC,Yamagata Japan,38.4117,140.371,32400,6575,
UBJ,RJDC,Yamaguchi Ube Japan,33.9297,131.278,32400,8204,
YNZ,ZSYN,Yancheng China,33.4258,120.203,28800,9186,
RGN,VYYY,Yangon Myanmar,16.9064,96.1331,23400,11249,"KLD,PAH,VN"
YTY,ZSYA,Yangzhou China,32.5667,119.7169,28800,7874,
YNJ,ZYYJ,Yanji China,42.8828,129.451,28800,8517,
YKN,KYKN,Yankton SD,42.9167,-97.3858,-21600,6097,NCA
YNT,ZSYT,Yantai China,37.4017,121.371,28800,8533,MU
YAO,FKKY,Yaounde Cameroon,3.8317,11.5214,3600,6591,
NSI,FKYS,Yaounde-Nsimalen Cameroon,3.7225,11.5531,3600,11207,AF
EYL,GAYE,Yelimane Mali,15.1419,-10.5664,0,5249,
YZF,CYZF,Yellowknife NT Canada,62.4625,-114.44,-25200,7515,WSH
YNB,OEYN,Yenbo Saudi Arabia,24.1442,38.0633,10800,10559,SV
RSU,RKJY,Yeosu South Korea,34.8419,127.617,32400,6908,
EVN,UDYZ,Yerevan Armenia,40.1467,44.3956,14400,12611,"AF,ME"
YBP,ZUYB,Yibin China,28.8039,104.56,28800,2500,
YIH,ZHYC,Yichang Hubei China,30.5589,111.493,25200,8530,
LDS,ZYLD,Yichun Lindu China,47.7519,129.0189,28800,2500,
